"0","93","-107","0","90","-111","15","107","-75","-158","-94","-149","sittingdown"
"-5","93","-115","9","91","-90","11","107","-82","-168","-100","-157","sittingdown"
"-2","84","-121","0","75","-81","16","107","-76","-177","-109","-150","sittingdown"
"2","106","-128","-10","70","-48","8","104","-73","-199","-101","-154","sittingdown"
"6","112","-127","-12","57","-33","7","104","-65","-203","-76","-144","sittingdown"
"2","121","-102","-11","43","-13","6","104","-70","-200","-78","-148","sittingdown"
"-5","103","-99","5","90","-112","17","107","-72","-163","-91","-150","sittingdown"
"-5","97","-108","4","91","-105","14","106","-79","-169","-95","-152","sittingdown"
"-7","95","-111","3","89","-105","19","106","-83","-172","-99","-152","sittingdown"
"-4","99","-119","2","90","-83","16","107","-75","-174","-97","-150","sittingdown"
"-3","83","-119","8","73","-72","6","107","-80","-193","-107","-154","sittingdown"
"-1","94","-136","-9","71","-52","6","106","-72","-194","-99","-153","sittingdown"
"3","122","-145","-14","52","-35","-5","101","-71","-196","-87","-144","sittingdown"
"0","118","-99","-9","41","-13","-1","105","-68","-197","-87","-142","sittingdown"
"-2","105","-98","-10","42","-12","-3","108","-68","-167","-88","-144","sittingdown"
"-4","105","-77","-10","27","-9","-3","110","-73","-157","-97","-148","sittingdown"
"-1","97","-59","-19","14","-19","1","104","-67","-151","-98","-156","sittingdown"
"-6","104","-101","8","90","-117","-4","104","-75","-146","-102","-158","sittingdown"
"-7","103","-102","8","88","-117","-4","105","-73","-164","-93","-156","sittingdown"
"-7","102","-106","6","89","-116","15","106","-71","-163","-91","-152","sittingdown"
"-2","87","-118","6","92","-88","14","105","-78","-173","-98","-156","sittingdown"
"-4","83","-122","10","88","-84","13","107","-78","-181","-109","-157","sittingdown"
"-1","104","-128","-14","84","-81","12","106","-74","-181","-113","-155","sittingdown"
"-1","101","-134","0","65","-49","4","106","-72","-200","-93","-150","sittingdown"
"3","116","-135","-18","55","-28","2","105","-69","-208","-80","-147","sittingdown"
"0","119","-132","-10","50","-23","2","103","-62","-201","-73","-146","sittingdown"
"5","124","-92","-6","38","-6","-1","103","-71","-199","-77","-146","sittingdown"
"0","105","-69","-16","16","-22","10","111","-67","-149","-106","-160","sittingdown"
"-3","100","-67","-20","17","-21","-5","91","-66","-147","-93","-156","sittingdown"
"-2","98","-56","-16","18","-12","-5","98","-74","-146","-94","-155","sittingdown"
"-2","93","-56","-15","21","-14","3","102","-66","-151","-95","-157","sittingdown"
"-3","109","-102","10","90","-117","0","107","-67","-154","-96","-154","sittingdown"
"-2","103","-101","8","91","-118","17","106","-68","-164","-90","-151","sittingdown"
"-6","101","-111","6","89","-117","14","104","-73","-168","-93","-156","sittingdown"
"-3","87","-121","9","90","-98","16","107","-73","-170","-93","-151","sittingdown"
"-2","103","-125","3","84","-77","16","106","-75","-181","-106","-160","sittingdown"
"1","103","-143","-9","77","-62","12","107","-71","-197","-96","-155","sittingdown"
"0","104","-142","-13","57","-37","9","106","-84","-209","-89","-156","sittingdown"
"1","104","-146","-18","58","-36","2","105","-73","-203","-82","-152","sittingdown"
"-3","126","-119","-7","28","-13","5","105","-67","-196","-77","-148","sittingdown"
"-6","99","-71","-18","10","-21","19","111","-76","-155","-101","-150","sittingdown"
"-5","102","-69","-24","10","-19","2","97","-71","-145","-98","-155","sittingdown"
"-4","91","-60","-20","11","-19","1","97","-72","-143","-94","-154","sittingdown"
"-3","93","-55","-16","18","-14","3","105","-76","-144","-101","-160","sittingdown"
"-2","93","-54","-17","17","-14","5","105","-75","-150","-98","-157","sittingdown"
"-4","91","-53","-18","15","-15","6","107","-73","-150","-97","-155","sittingdown"
"-2","95","-57","-14","18","-12","6","104","-75","-150","-98","-159","sittingdown"
"-4","104","-103","10","90","-114","13","106","-78","-159","-93","-158","sittingdown"
"-7","83","-113","10","93","-99","15","106","-77","-162","-97","-161","sittingdown"
"-2","86","-111","5","91","-93","10","104","-76","-177","-107","-161","sittingdown"
"-2","95","-126","6","83","-85","15","106","-73","-174","-106","-159","sittingdown"
"2","101","-136","-3","75","-58","11","105","-75","-199","-99","-162","sittingdown"
"7","111","-139","-7","57","-36","6","104","-73","-205","-82","-157","sittingdown"
"3","104","-138","-13","54","-38","7","104","-67","-205","-73","-153","sittingdown"
"6","120","-117","-6","39","-13","5","103","-66","-209","-74","-158","sittingdown"
