306,-894,-56,9,-970,343,48
306,-894,-56,0,-980,353,48
288,-884,-47,0,-980,353,48
288,-884,-47,0,-980,343,48
297,-903,-84,0,-980,333,48
306,-894,-75,0,-980,333,48
306,-894,-75,0,-980,343,48
288,-894,-66,0,-980,343,48
288,-894,-66,0,-970,333,48
288,-884,-66,9,-970,333,48
288,-894,-56,9,-970,333,48
288,-894,-56,0,-970,353,48
288,-894,-56,9,-980,343,48
288,-894,-66,9,-980,343,48
288,-894,-66,-9,-990,353,48
297,-894,-66,-9,-990,353,48
297,-894,-66,-9,-980,363,48
288,-913,-66,-9,-970,353,48
288,-894,-56,-9,-970,353,48
288,-894,-56,0,-970,353,48
279,-903,-47,9,-970,353,48
288,-894,-56,9,-970,353,48
288,-894,-56,-9,-970,333,48
288,-903,-56,-9,-970,333,48
270,-903,-66,-19,-970,353,48
270,-903,-66,0,-970,353,48
279,-894,-47,0,-970,353,48
279,-894,-47,0,-990,333,48
279,-903,-66,0,-980,343,48
279,-913,-66,0,-980,343,48
279,-913,-66,-19,-1000,323,48
270,-903,-47,-19,-1000,323,48
270,-903,-47,-19,-1000,313,48
270,-923,-66,-29,-1000,313,48
279,-923,-66,-29,-1000,313,48
279,-923,-66,-39,-1009,303,48
261,-932,-94,-39,-1009,303,48
261,-961,-75,-39,-1019,282,48
261,-961,-75,-99,-1029,292,48
243,-980,-47,-99,-1029,292,48
243,-980,-47,-108,-1039,262,48
234,-980,-56,-128,-1039,272,48
216,-990,-28,-128,-1039,272,48
216,-990,-28,-188,-1039,252,48
198,-980,-37,-188,-1039,252,48
198,-980,-37,-217,-1019,232,48
171,-1019,0,-257,-1019,212,48
153,-1000,-37,-257,-1019,212,48
153,-1000,-37,-247,-1029,191,48
126,-1009,-66,-237,-1029,202,48
126,-1000,-56,-237,-1029,202,48
126,-1000,-56,-198,-1039,181,48
153,-1019,-47,-198,-1039,181,48
153,-1019,-47,-188,-1029,141,48
162,-1048,-28,-138,-1068,151,48
162,-1019,-56,-138,-1068,151,48
162,-1019,-56,-99,-1039,151,48
180,-1028,-66,-99,-1039,151,48
180,-1028,-66,-128,-1058,171,48
225,-990,-122,-79,-1058,242,48
261,-1000,-132,-79,-1058,242,48
261,-1000,-132,-69,-1039,272,48
360,-913,-141,0,-1019,343,48
396,-903,-132,0,-1019,343,48
414,-990,-84,9,-1009,343,48
414,-990,-84,-19,-1019,303,48
432,-932,18,-19,-1019,303,48
432,-932,18,-29,-1019,282,48
432,-932,9,-29,-1019,282,48
432,-932,9,-19,-970,333,48
405,-894,-56,29,-1000,343,48
459,-807,-66,29,-1000,343,48
459,-807,-66,118,-1009,353,48
495,-798,9,118,-1009,353,48
468,-788,0,128,-1000,303,48
468,-788,0,118,-970,323,48
495,-644,-18,118,-970,323,48
495,-644,-18,148,-911,343,48
540,-653,-37,148,-950,333,48
594,-711,18,148,-950,333,48
594,-711,18,128,-941,282,48
639,-673,94,128,-941,282,48
639,-673,94,138,-941,282,48
630,-682,9,138,-833,323,48
666,-605,47,178,-960,303,48
684,-576,18,178,-960,303,48
684,-576,18,267,-950,333,48
702,-548,47,267,-950,333,48
702,-548,47,227,-931,353,48
684,-548,75,227,-931,353,48
702,-403,9,217,-901,373,48
702,-403,9,326,-882,414,48
720,-346,0,326,-882,414,48
720,-317,18,366,-892,444,48
720,-317,18,376,-892,454,48
711,-298,9,376,-892,454,48
711,-298,9,366,-862,474,48
756,-250,0,366,-862,474,48
738,-201,-9,376,-872,525,48
738,-201,-9,405,-852,494,48
765,-201,37,405,-852,494,48
765,-201,37,405,-843,474,48
756,-211,28,396,-843,474,48
792,-201,37,396,-843,474,48
792,-201,37,415,-872,464,48
792,-221,75,415,-872,464,48
801,-269,113,405,-862,444,48
801,-269,113,346,-862,464,48
783,-326,66,326,-882,474,48
810,-317,56,326,-882,474,48
810,-317,56,326,-892,484,48
774,-403,-18,326,-892,484,48
774,-403,-18,257,-901,494,48
729,-365,-47,257,-901,494,48
711,-413,-132,257,-911,494,48
711,-413,-132,277,-911,444,48
702,-442,-169,277,-911,444,48
711,-451,-207,257,-911,444,48
711,-451,-207,237,-941,424,48
